iter	Passed	Remaining
0	174	174472
1	192	95857
2	203	67777
3	213	53059
4	219	43725
5	229	37940
6	236	33558
7	245	30426
8	252	27852
9	262	25948
10	269	24224
11	280	23108
12	289	21945
13	296	20887
14	305	20037
15	312	19233
16	322	18623
17	331	18106
18	341	17618
19	349	17140
20	357	16680
21	367	16315
22	375	15970
23	386	15726
24	396	15473
25	404	15158
26	414	14926
27	426	14805
28	438	14694
29	453	14667
30	469	14663
31	484	14657
32	500	14660
33	517	14713
34	535	14753
35	548	14690
36	563	14663
37	578	14642
38	615	15168
39	652	15660
40	664	15546
41	677	15452
42	687	15302
43	702	15263
44	712	15121
45	724	15022
46	749	15197
47	764	15171
48	780	15146
49	801	15221
50	816	15191
51	827	15095
52	844	15083
53	855	14979
54	870	14956
55	881	14860
56	892	14759
57	903	14668
58	914	14581
59	927	14524
60	936	14419
61	948	14349
62	959	14277
63	969	14183
64	979	14085
65	993	14064
66	1008	14038
67	1025	14053
68	1040	14036
69	1053	14001
70	1065	13937
71	1081	13939
72	1095	13912
73	1111	13907
74	1125	13880
75	1137	13824
76	1154	13838
77	1167	13800
78	1180	13767
79	1192	13713
80	1209	13718
81	1225	13720
82	1238	13686
83	1254	13681
84	1267	13641
85	1277	13575
86	1293	13578
87	1312	13605
88	1326	13580
89	1342	13570
90	1356	13547
91	1373	13556
92	1393	13588
93	1404	13533
94	1415	13484
95	1425	13421
96	1435	13359
97	1454	13387
98	1470	13382
99	1484	13362
100	1497	13326
101	1514	13335
102	1530	13327
103	1542	13285
104	1551	13225
105	1563	13185
106	1574	13142
107	1586	13105
108	1596	13053
109	1609	13025
110	1619	12971
111	1630	12930
112	1644	12910
113	1658	12892
114	1673	12881
115	1689	12874
116	1706	12878
117	1725	12895
118	1744	12913
119	1760	12913
120	1777	12911
121	1791	12893
122	1807	12887
123	1823	12882
124	1835	12849
125	1846	12809
126	1857	12771
127	1870	12745
128	1885	12730
129	1899	12713
130	1918	12728
131	1929	12685
132	1939	12644
133	1951	12614
134	1965	12595
135	1978	12566
136	1991	12544
137	2002	12507
138	2012	12464
139	2023	12427
140	2033	12389
141	2044	12350
142	2061	12356
143	2072	12321
144	2082	12278
145	2093	12248
146	2106	12226
147	2120	12206
148	2131	12171
149	2142	12141
150	2156	12123
151	2165	12081
152	2178	12057
153	2191	12041
154	2203	12015
155	2214	11979
156	2226	11957
157	2238	11931
158	2248	11894
159	2257	11854
160	2269	11828
161	2278	11787
